TILENAME,RA,DEC,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,DECCMAX,URAL,URAU,UDECL,UDECU,CROSSRAZERO,PIXELSCALE,NAXIS1,NAXIS2,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CD1_1,CD1_2,CD2_1,CD2_2
DES0003+0500,0.99572573,5.01388889,1.36215999,0.62929146,0.62888137,1.36257008,4.64855793,4.64855793,5.37901558,5.37901558,0.62888137,1.36257008,4.64855793,5.37901558,0.6374102,1.35404125,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,0.99572573,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0006+0500,1.71235677,5.01388889,2.07879104,1.34592251,1.34551242,2.07920113,4.64855793,4.64855793,5.37901558,5.37901558,1.34551242,2.07920113,4.64855793,5.37901558,1.35404125,2.0706723,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,1.71235677,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0009+0500,2.42898782,5.01388889,2.79542209,2.06255356,2.06214347,2.79583218,4.64855793,4.64855793,5.37901558,5.37901558,2.06214347,2.79583218,4.64855793,5.37901558,2.0706723,2.78730335,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,2.42898782,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0012+0500,3.14561887,5.01388889,3.51205314,2.77918461,2.77877452,3.51246322,4.64855793,4.64855793,5.37901558,5.37901558,2.77877452,3.51246322,4.64855793,5.37901558,2.78730335,3.50393439,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,3.14561887,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0015+0500,3.86224992,5.01388889,4.22868418,3.49581565,3.49540557,4.22909427,4.64855793,4.64855793,5.37901558,5.37901558,3.49540557,4.22909427,4.64855793,5.37901558,3.50393439,4.22056544,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,3.86224992,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0018+0500,4.57888097,5.01388889,4.94531523,4.2124467,4.21203661,4.94572532,4.64855793,4.64855793,5.37901558,5.37901558,4.21203661,4.94572532,4.64855793,5.37901558,4.22056544,4.93719649,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,4.57888097,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0021+0500,5.29551201,5.01388889,5.66194628,4.92907775,4.92866766,5.66235637,4.64855793,4.64855793,5.37901558,5.37901558,4.92866766,5.66235637,4.64855793,5.37901558,4.93719649,5.65382754,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,5.29551201,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0024+0500,6.01214306,5.01388889,6.37857733,5.6457088,5.64529871,6.37898741,4.64855793,4.64855793,5.37901558,5.37901558,5.64529871,6.37898741,4.64855793,5.37901558,5.65382754,6.37045859,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,6.01214306,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0026+0500,6.72877411,5.01388889,7.09520837,6.36233984,6.36192976,7.09561846,4.64855793,4.64855793,5.37901558,5.37901558,6.36192976,7.09561846,4.64855793,5.37901558,6.37045859,7.08708963,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,6.72877411,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0029+0500,7.44540516,5.01388889,7.81183942,7.07897089,7.0785608,7.81224951,4.64855793,4.64855793,5.37901558,5.37901558,7.0785608,7.81224951,4.64855793,5.37901558,7.08708963,7.80372068,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,7.44540516,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0032+0500,8.1620362,5.01388889,8.52847047,7.79560194,7.79519185,8.52888056,4.64855793,4.64855793,5.37901558,5.37901558,7.79519185,8.52888056,4.64855793,5.37901558,7.80372068,8.52035173,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,8.1620362,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES0035+0500,8.87866725,5.01388889,9.24510152,8.51223299,8.5118229,9.24551161,4.64855793,4.64855793,5.37901558,5.37901558,8.5118229,9.24551161,4.64855793,5.37901558,8.52035173,9.23698278,4.65694444,5.37083333,N,0.26300001,10000,10000,5000.5,5000.5,8.87866725,5.01388889,-7.306e-05,0.0,0.0,7.306e-05
DES2357+0418,359.47667946,4.3,359.84277126,359.11058766,359.11023656,359.84312237,3.93468363,3.93468363,4.66514131,4.66514131,359.11023656,359.84312237,3.93468363,4.66514131,359.11872743,359.83463149,3.94305556,4.65694444,N,0.26300001,10000,10000,5000.5,5000.5,359.47667946,4.3,-7.306e-05,0.0,0.0,7.306e-05
