DEC1,DEC2,DEC3,DEC4,DEC_CENT,RA1,RA2,RA3,RA4,RA_CENT,TILENAME
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,2.66334778,1.37967443,1.39123446,2.65178775,2.02151111,DES0008-5457
-61.02702272,-61.02702272,-60.29661194,-60.29661194,-60.66388889,76.03702313,74.52901668,74.5459279,76.02011191,75.28301991,DES0501-6039
-59.59936327,-59.59936327,-58.86894739,-58.86894739,-59.23611111,84.59822879,83.15473163,83.17002459,84.58293583,83.87648021,DES0535-5914
-56.03017514,-56.03017514,-55.29974919,-55.29974919,-55.66666667,347.80116221,346.49385027,346.50593788,347.7890746,347.14750624,DES2308-5540
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,353.96119667,352.67752332,352.68908335,353.94963664,353.31936,DES2333-5457
-47.46396751,-47.46396751,-46.73352694,-46.73352694,-47.1,71.80024296,70.71976133,70.72712246,71.79288183,71.26000215,DES0445-4706
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,93.11388698,91.57104423,91.58885628,93.09607493,92.3424656,DES0609-6122
-0.34856255,-0.34856255,0.38189521,0.38189521,0.01666667,43.86524108,43.1347698,43.13476844,43.86524243,43.50000544,DES0254+0001
-52.46094357,-52.46094357,-51.73051029,-51.73051029,-52.09722222,79.45176477,78.25290765,78.26264324,79.44202919,78.85233621,DES0515-5205
-58.88552985,-58.88552985,-58.15511167,-58.15511167,-58.52222222,63.36047167,61.94688297,61.96144755,63.34590708,62.65367732,DES0410-5831
-58.88552985,-58.88552985,-58.15511167,-58.15511167,-58.52222222,70.19629006,68.78270136,68.79726595,70.18172548,69.48949571,DES0437-5831
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,352.71803223,351.43435888,351.44591891,352.7064722,352.07619555,DES2328-5457
-54.60248698,-54.60248698,-53.87205783,-53.87205783,-54.23888889,4.80449149,3.54342482,3.55448815,4.79342816,4.17395816,DES0016-5414
-61.02702272,-61.02702272,-60.29661194,-60.29661194,-60.66388889,68.75143132,67.24342486,67.26033609,68.7345201,67.99742809,DES0431-6039
-45.32239236,-45.32239236,-44.5919494,-44.5919494,-44.95833333,67.8569972,66.8181047,66.82467549,67.85042642,67.33755095,DES0429-4457
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,68.11380025,66.75584709,66.76909343,68.10055391,67.43482367,DES0429-5705
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,76.01005,74.72637665,74.73793668,75.99848997,75.36821333,DES0501-5457
-55.31633187,-55.31633187,-54.58590427,-54.58590427,-54.95277778,342.77271667,341.48904332,341.50060335,342.76115664,342.13088,DES2248-5457
-54.60248698,-54.60248698,-53.87205783,-53.87205783,-54.23888889,341.59483115,340.33376448,340.34482781,341.58376782,340.96429781,DES2243-5414
-57.45785642,-57.45785642,-56.7274341,-56.7274341,-57.09444444,351.89638842,350.53843525,350.5516816,351.88314208,351.21741184,DES2324-5705
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,83.28365547,81.95160739,81.96425611,83.27100674,82.61763143,DES0530-5622
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,70.38999151,69.05794343,69.07059216,70.37734278,69.72396747,DES0438-5622
-0.34856255,-0.34856255,0.38189521,0.38189521,0.01666667,44.57913,43.84865871,43.84865736,44.57913135,44.21389436,DES0256+0001
-51.03324149,-51.03324149,-50.30280583,-50.30280583,-50.66944444,73.27322622,72.11167293,72.12063927,73.26425987,72.69244957,DES0450-5040
-50.31938872,-50.31938872,-49.58895197,-49.58895197,-49.95555556,4.33909248,3.19507296,3.20368454,4.33048089,3.76708272,DES0015-4957
-54.60248698,-54.60248698,-53.87205783,-53.87205783,-54.23888889,69.54722824,68.28616157,68.2972249,69.53616491,68.9166949,DES0435-5414
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,75.15246438,73.76735934,73.78124308,75.13858064,74.45991186,DES0457-5748
-53.88864058,-53.88864058,-53.15820997,-53.15820997,-53.525,358.48036331,357.2409318,357.25152691,358.4697682,357.86064755,DES2351-5331
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,10.03463273,9.02096837,9.02706965,10.02853145,9.52780055,DES0038-4331
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,345.372514,343.98740897,344.00129271,345.35863026,344.67996149,DES2258-5748
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,0.76420615,359.43215807,359.4448068,0.75155742,0.09818211,DES0000-5622
-51.74709313,-51.74709313,-51.01665863,-51.01665863,-51.38333333,354.51602434,353.33620548,353.345546,354.50668383,353.92611491,DES2335-5123
-30.33122188,-30.33122188,-29.60076905,-29.60076905,-29.96666667,53.86375769,53.01745702,53.02055607,53.86065864,53.44060736,DES0333-2958
-52.46094357,-52.46094357,-51.73051029,-51.73051029,-52.09722222,68.99310501,67.7942479,67.80398348,68.98336943,68.39367645,DES0433-5205
-53.88864058,-53.88864058,-53.15820997,-53.15820997,-53.525,76.53749506,75.29806356,75.30865867,76.52689995,75.91777931,DES0503-5331
-60.31319429,-60.31319429,-59.58278087,-59.58278087,-59.95,89.66353219,88.1885998,88.20467326,89.64745873,88.92606599,DES0555-5957
-58.17169418,-58.17169418,-57.44127386,-57.44127386,-57.80833333,344.03251474,342.64740971,342.66129345,344.018631,343.33996223,DES2253-5748
-52.46094357,-52.46094357,-51.73051029,-51.73051029,-52.09722222,1.59285324,0.39399612,0.40373171,1.58311765,0.99342468,DES0003-5205
-46.75010994,-46.75010994,-46.01966852,-46.01966852,-46.38611111,71.8073159,70.74122865,70.74831383,71.80023072,71.27427228,DES0445-4623
-50.31938872,-50.31938872,-49.58895197,-49.58895197,-49.95555556,74.24317012,73.0991506,73.10776218,74.23455853,73.67116036,DES0454-4957
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,87.1527957,85.60995295,85.627765,87.13498365,86.38137432,DES0545-6122
-48.17782423,-48.17782423,-47.44738453,-47.44738453,-47.81388889,66.50235123,65.40690883,65.41455957,66.49470049,65.95463003,DES0423-4748
-61.02702272,-61.02702272,-60.29661194,-60.29661194,-60.66388889,87.69397004,86.18596358,86.2028748,87.67705881,86.93996681,DES0547-6039
-27.47574205,-27.47574205,-26.74528818,-26.74528818,-27.11111111,55.76344826,54.94012324,54.94280145,55.76077006,55.35178575,DES0341-2706
-28.90348249,-28.90348249,-28.17302911,-28.17302911,-28.53888889,54.37675003,53.54235439,53.54523694,54.37386747,53.95955221,DES0335-2832
-59.59936327,-59.59936327,-58.86894739,-58.86894739,-59.23611111,65.05880133,63.61530417,63.63059713,65.04350836,64.33705275,DES0417-5914
-53.88864058,-53.88864058,-53.15820997,-53.15820997,-53.525,77.73837401,76.49894251,76.50953762,77.7277789,77.11865826,DES0508-5331
-48.17782423,-48.17782423,-47.44738453,-47.44738453,-47.81388889,69.69153356,68.59609115,68.60374189,69.68388282,69.14381236,DES0436-4748
-62.45467101,-62.45467101,-61.72426615,-61.72426615,-62.09166667,71.36156095,69.78198347,69.80076595,71.34277847,70.57177221,DES0442-6205
-61.74084837,-61.74084837,-61.01044044,-61.01044044,-61.37777778,72.25006749,70.70722474,70.72503679,72.23225544,71.47864612,DES0445-6122
-43.89467183,-43.89467183,-43.16422746,-43.16422746,-43.53055556,71.08383726,70.07017289,70.07627417,71.07773598,70.57700507,DES0442-4331
-56.74401669,-56.74401669,-56.0135925,-56.0135925,-56.38055556,103.91351779,102.58146972,102.59411844,103.90086907,103.24749376,DES0652-5622
-45.32239236,-45.32239236,-44.5919494,-44.5919494,-44.95833333,344.12178707,343.08289458,343.08946536,344.11521629,343.60234083,DES2254-4457
-49.60553489,-49.60553489,-48.8750971,-48.8750971,-49.24166667,3.04060257,1.91342298,1.92169785,3.03232769,2.47701277,DES0009-4914
-5.34568293,-5.34568293,-4.61522528,-4.61522528,-4.98055556,39.33768897,38.60404033,38.60444765,39.33728164,38.97086465,DES0235-0458
-53.88864058,-53.88864058,-53.15820997,-53.15820997,-53.525,65.72958451,64.49015301,64.50074812,65.7189894,65.10986876,DES0420-5331
