TILENAME,RA,DEC,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,DECCMAX,URAL,URAU,UDECL,UDECU,CROSSRAZERO,PIXELSCALE,NAXIS1,NAXIS2,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CD1_1,CD1_2,CD2_1,CD2_2
DES0535-5914,83.87648021,-59.23611111,84.59822879,83.15473163,83.17002459,84.58293583,-59.59936327,-59.59936327,-58.86894739,-58.86894739,83.15473163,84.59822879,-59.59936327,-58.86894739,83.17864351,84.57431691,-59.59305556,-58.87916667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,83.87648021,-59.23611111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0431-6039,67.99742809,-60.66388889,68.75143132,67.24342486,67.26033609,68.73452010,-61.02702272,-61.02702272,-60.29661194,-60.29661194,67.24342486,68.75143132,-61.02702272,-60.29661194,67.26886891,68.72598727,-61.02083333,-60.30694444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,67.99742809,-60.66388889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0016-5414,4.17395816,-54.23888889,4.80449149,3.54342482,3.55448815,4.79342816,-54.60248698,-54.60248698,-53.87205783,-53.87205783,3.54342482,4.80449149,-54.60248698,-53.87205783,3.56317762,4.78473869,-54.59583333,-53.88194444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,4.17395816,-54.23888889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0501-5457,75.36821333,-54.95277778,76.01005000,74.72637665,74.73793668,75.99848997,-55.31633187,-55.31633187,-54.58590427,-54.58590427,74.72637665,76.01005000,-55.31633187,-54.58590427,74.74663110,75.98979555,-55.30972222,-54.59583333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,75.36821333,-54.95277778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0038-4331,9.52780055,-43.53055556,10.03463273,9.02096837,9.02706965,10.02853145,-43.89467183,-43.89467183,-43.16422746,-43.16422746,9.02096837,10.03463273,-43.89467183,-43.16422746,9.03546826,10.02013285,-43.88750000,-43.17361111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,9.52780055,-43.53055556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0335-2832,53.95955221,-28.53888889,54.37675003,53.54235439,53.54523694,54.37386747,-28.90348249,-28.90348249,-28.17302911,-28.17302911,53.54235439,54.37675003,-28.90348249,-28.17302911,53.55323773,54.36586669,-28.89583333,-28.18194444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,53.95955221,-28.53888889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0445-4623,71.27427228,-46.38611111,71.80731590,70.74122865,70.74831383,71.80023072,-46.75010994,-46.75010994,-46.01966852,-46.01966852,70.74122865,71.80731590,-46.75010994,-46.01966852,70.75680780,71.79173675,-46.74305556,-46.02916667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,71.27427228,-46.38611111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0433-5205,68.39367645,-52.09722222,68.99310501,67.79424790,67.80398348,68.98336943,-52.46094357,-52.46094357,-51.73051029,-51.73051029,67.79424790,68.99310501,-52.46094357,-51.73051029,67.81263980,68.97471311,-52.45416667,-51.74027778,N,0.26300001,10000,10000,5000.50000000,5000.50000000,68.39367645,-52.09722222,-0.00007306,0.00000000,0.00000000,0.00007306
DES0442-6205,70.57177221,-62.09166667,71.36156095,69.78198347,69.80076595,71.34277847,-62.45467101,-62.45467101,-61.72426615,-61.72426615,69.78198347,71.36156095,-62.45467101,-61.72426615,69.80916548,71.33437894,-62.44861111,-61.73472222,N,0.26300001,10000,10000,5000.50000000,5000.50000000,70.57177221,-62.09166667,-0.00007306,0.00000000,0.00000000,0.00007306
DES0445-6122,71.47864612,-61.37777778,72.25006749,70.70722474,70.72503679,72.23225544,-61.74084837,-61.74084837,-61.01044044,-61.01044044,70.70722474,72.25006749,-61.74084837,-61.01044044,70.73350971,72.22378253,-61.73472222,-61.02083333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,71.47864612,-61.37777778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0442-4331,70.57700507,-43.53055556,71.08383726,70.07017289,70.07627417,71.07773598,-43.89467183,-43.89467183,-43.16422746,-43.16422746,70.07017289,71.08383726,-43.89467183,-43.16422746,70.08467278,71.06933737,-43.88750000,-43.17361111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,70.57700507,-43.53055556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0338-2706,54.54977555,-27.11111111,54.96143806,54.13811304,54.14079124,54.95875986,-27.47574205,-27.47574205,-26.74528818,-26.74528818,54.13811304,54.96143806,-27.47574205,-26.74528818,54.14877045,54.95078065,-27.46805556,-26.75416667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,54.54977555,-27.11111111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0414-5040,63.68145246,-50.66944444,64.26222910,63.10067581,63.10964216,64.25326275,-51.03324149,-51.03324149,-50.30280583,-50.30280583,63.10067581,64.26222910,-51.03324149,-50.30280583,63.11826514,64.24463978,-51.02638889,-50.31250000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,63.68145246,-50.66944444,-0.00007306,0.00000000,0.00000000,0.00007306
DES0445-5705,71.37710359,-57.09444444,72.05608018,70.69812701,70.71137335,72.04283383,-57.45785642,-57.45785642,-56.72743410,-56.72743410,70.69812701,72.05608018,-57.45785642,-56.72743410,70.72005694,72.03415025,-57.45138889,-56.73750000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,71.37710359,-57.09444444,-0.00007306,0.00000000,0.00000000,0.00007306
DES0534-6248,83.70465808,-62.80555556,84.51383877,82.89547739,82.91530733,84.49400883,-63.16849041,-63.16849041,-62.43808887,-62.43808887,82.89547739,84.51383877,-63.16849041,-62.43808887,82.92361800,84.48569816,-63.16250000,-62.44861111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,83.70465808,-62.80555556,-0.00007306,0.00000000,0.00000000,0.00007306
DES2341-5331,355.45888965,-53.52500000,356.07860541,354.83917390,354.84976901,356.06801030,-53.88864058,-53.88864058,-53.15820997,-53.15820997,354.83917390,356.07860541,-53.88864058,-53.15820997,354.85845018,356.05932913,-53.88194444,-53.16805556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,355.45888965,-53.52500000,-0.00007306,0.00000000,0.00000000,0.00007306
DES0434-6331,68.69868617,-63.51944444,69.52836701,67.86900533,67.88996819,69.50740415,-63.88230631,-63.88230631,-63.15190835,-63.15190835,67.86900533,69.52836701,-63.88230631,-63.15190835,67.89817218,69.49920016,-63.87638889,-63.16250000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,68.69868617,-63.51944444,-0.00007306,0.00000000,0.00000000,0.00007306
DES0510-5831,77.69247778,-58.52222222,78.39927213,76.98568343,77.00024802,78.38470755,-58.88552985,-58.88552985,-58.15511167,-58.15511167,76.98568343,78.39927213,-58.88552985,-58.15511167,77.00889594,78.37605962,-58.87916667,-58.16527778,N,0.26300001,10000,10000,5000.50000000,5000.50000000,77.69247778,-58.52222222,-0.00007306,0.00000000,0.00000000,0.00007306
DES2303-5705,345.96103861,-57.09444444,346.64001519,345.28206202,345.29530837,346.62676885,-57.45785642,-57.45785642,-56.72743410,-56.72743410,345.28206202,346.64001519,-57.45785642,-56.72743410,345.30399195,346.61808526,-57.45138889,-56.73750000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,345.96103861,-57.09444444,-0.00007306,0.00000000,0.00000000,0.00007306
DES0029-4206,7.37003680,-42.10277778,7.86515314,6.87492046,6.88059175,7.85948185,-42.46694862,-42.46694862,-41.73650297,-41.73650297,6.87492046,7.86515314,-42.46694862,-41.73650297,6.88894286,7.85113074,-42.45972222,-41.74583333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,7.37003680,-42.10277778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0037-4206,9.29441257,-42.10277778,9.78952891,8.79929622,8.80496752,9.78385761,-42.46694862,-42.46694862,-41.73650297,-41.73650297,8.79929622,9.78952891,-42.46694862,-41.73650297,8.81331863,9.77550651,-42.45972222,-41.74583333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,9.29441257,-42.10277778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0449-4831,72.38270612,-48.52777778,72.93820521,71.82720703,71.83516201,72.93025023,-48.89168004,-48.89168004,-48.16124127,-48.16124127,71.82720703,72.93820521,-48.89168004,-48.16124127,71.84372425,72.92168799,-48.88472222,-48.17083333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,72.38270612,-48.52777778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0015-4957,3.76708272,-49.95555556,4.33909248,3.19507296,3.20368454,4.33048089,-50.31938872,-50.31938872,-49.58895197,-49.58895197,3.19507296,4.33909248,-50.31938872,-49.58895197,3.21228845,4.32187698,-50.31250000,-49.59861111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,3.76708272,-49.95555556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0541-6248,85.26673825,-62.80555556,86.07591894,84.45755756,84.47738750,86.05608899,-63.16849041,-63.16849041,-62.43808887,-62.43808887,84.45755756,86.07591894,-63.16849041,-62.43808887,84.48569816,86.04777833,-63.16250000,-62.44861111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,85.26673825,-62.80555556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0214-0250,33.65117008,-2.83888889,34.01697079,33.28536938,33.28560056,34.01673960,-3.20406003,-3.20406003,-2.47360230,-2.47360230,33.28536938,34.01697079,-3.20406003,-2.47360230,33.29378704,34.00855312,-3.19583333,-2.48194444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,33.65117008,-2.83888889,-0.00007306,0.00000000,0.00000000,0.00007306
